'Flight phase','Flight type','Crash site','Crew on board','Pax on board','Total fatalities','Crash cause'
Flight,'Scheduled Revenue Flight',Mountains,1,3,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3,42,0-10,'Other causes'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',1,3,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4,44,0-10,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5,22,0-10,'Human factor'
'Takeoff (climb)',Private,'Airport (less than 10 km from airport)',1,1,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,12,0-10,'Technical failure'
'Landing (descent or approach)',Private,'Airport (less than 10 km from airport)',1,0,0-10,'Human factor'
'Takeoff (climb)',Training,'Airport (less than 10 km from airport)',2,2,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,6,0-10,Unknown
'Takeoff (climb)',Cargo,'Airport (less than 10 km from airport)',2,1,0-10,'Human factor'
'Landing (descent or approach)',Humanitarian,Mountains,4,0,0-10,'Terrorism act, Hijacking, Sabotage'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Lake, Sea, Ocean, River',1,4,0-10,Unknown
'Landing (descent or approach)',Training,'Airport (less than 10 km from airport)',1,0,0-10,'Technical failure'
Flight,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',3,27,0-10,'Human factor'
'Takeoff (climb)',Executive/Corporate/Business,Mountains,2,7,0-10,'Human factor'
Flight,Ferry,'Plain, Valley',2,0,0-10,'Human factor'
'Takeoff (climb)',Cargo,'Airport (less than 10 km from airport)',2,0,0-10,'Technical failure'
'Takeoff (climb)',Executive/Corporate/Business,'Airport (less than 10 km from airport)',1,0,0-10,'Human factor'
Flight,Private,Mountains,2,5,0-10,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',0,0,0-10,Unknown
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',2,7,0-10,Weather
'Takeoff (climb)','Survey / Patrol / Reconnaissance','Plain, Valley',3,0,0-10,'Human factor'
Flight,Military,'Plain, Valley',6,0,0-10,'Terrorism act, Hijacking, Sabotage'
'Takeoff (climb)',Test,'Airport (less than 10 km from airport)',3,0,0-10,'Technical failure'
Flight,Private,'Lake, Sea, Ocean, River',1,1,0-10,'Technical failure'
Flight,Ferry,'Plain, Valley',2,0,0-10,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',10,44,0-10,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',0,0,0-10,'Human factor'
'Landing (descent or approach)',Training,'Airport (less than 10 km from airport)',1,1,0-10,'Human factor'
Flight,Cargo,'Lake, Sea, Ocean, River',3,0,0-10,'Technical failure'
'Takeoff (climb)',Training,'Airport (less than 10 km from airport)',2,0,0-10,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5,24,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,14,0-10,'Human factor'
'Takeoff (climb)',Executive/Corporate/Business,'Airport (less than 10 km from airport)',1,3,0-10,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',2,0,0-10,'Other causes'
Parking,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',0,0,0-10,'Human factor'
Flight,Private,'Lake, Sea, Ocean, River',1,0,0-10,Unknown
'Takeoff (climb)',Training,'Airport (less than 10 km from airport)',2,0,0-10,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6,110,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,5,0-10,'Human factor'
Flight,Test,Mountains,2,5,0-10,Unknown
Flight,Aerobatic,'Plain, Valley',1,1,0-10,'Human factor'
'Landing (descent or approach)',Training,'Airport (less than 10 km from airport)',2,0,0-10,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',1,5,0-10,'Human factor'
Flight,Military,Mountains,5,5,0-10,'Human factor'
'Takeoff (climb)',Ferry,'Airport (less than 10 km from airport)',1,1,0-10,'Technical failure'
Flight,Cargo,'Plain, Valley',1,0,0-10,Unknown
Flight,Ferry,Mountains,1,0,0-10,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',2,11,0-10,Weather
Flight,Demonstration,'Airport (less than 10 km from airport)',2,0,0-10,Unknown
'Landing (descent or approach)',Positioning,'Airport (less than 10 km from airport)',2,1,0-10,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',8,0,0-10,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',3,0,0-10,'Technical failure'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Lake, Sea, Ocean, River',2,3,0-10,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Mountains,1,2,0-10,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',1,9,0-10,'Technical failure'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',5,6,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',0,0,0-10,'Human factor'
NA,Cargo,'Airport (less than 10 km from airport)',0,0,0-10,'Technical failure'
Flight,Cargo,'Plain, Valley',1,1,0-10,Weather
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6,68,0-10,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',1,7,0-10,'Human factor'
'Takeoff (climb)','Survey / Patrol / Reconnaissance','Airport (less than 10 km from airport)',2,23,0-10,'Other causes'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',1,0,0-10,'Human factor'
Flight,Delivery,'Plain, Valley',2,1,0-10,'Human factor'
Flight,Cargo,'Plain, Valley',4,0,0-10,'Terrorism act, Hijacking, Sabotage'
'Takeoff (climb)',Private,'Airport (less than 10 km from airport)',1,0,0-10,Unknown
Flight,'Spraying (Agricultural)','Plain, Valley',2,0,0-10,'Human factor'
'Landing (descent or approach)',Private,'Airport (less than 10 km from airport)',1,2,0-10,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',2,17,0-10,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',4,1,0-10,'Human factor'
'Takeoff (climb)',Ferry,'Lake, Sea, Ocean, River',1,2,0-10,Unknown
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)','Plain, Valley',1,2,0-10,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',2,19,0-10,'Technical failure'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Plain, Valley',1,7,0-10,'Technical failure'
'Landing (descent or approach)',Private,'Airport (less than 10 km from airport)',1,1,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4,36,0-10,'Human factor'
'Takeoff (climb)',Military,'Airport (less than 10 km from airport)',2,0,0-10,'Technical failure'
Flight,Private,'Plain, Valley',1,2,0-10,'Technical failure'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',0,0,0-10,'Technical failure'
Flight,'Spraying (Agricultural)','Plain, Valley',1,2,0-10,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3,24,0-10,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',2,0,0-10,Unknown
'Takeoff (climb)',Cargo,'Airport (less than 10 km from airport)',9,3,0-10,'Technical failure'
Taxiing,Test,'Airport (less than 10 km from airport)',1,1,0-10,'Human factor'
'Landing (descent or approach)','Fire fighting','Lake, Sea, Ocean, River',1,0,0-10,'Human factor'
'Landing (descent or approach)',Positioning,'Airport (less than 10 km from airport)',2,2,0-10,'Human factor'
'Takeoff (climb)',Military,'Airport (less than 10 km from airport)',0,0,0-10,Unknown
'Takeoff (climb)',Military,Mountains,8,1,0-10,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Lake, Sea, Ocean, River',1,4,0-10,'Technical failure'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',7,0,0-10,'Human factor'
'Landing (descent or approach)',Cargo,Mountains,1,0,0-10,'Human factor'
'Landing (descent or approach)',Private,'Airport (less than 10 km from airport)',1,0,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5,14,0-10,'Human factor'
Flight,'Geographical / Geophysical / Scientific',Mountains,2,1,0-10,Weather
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',2,2,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5,4,0-10,'Human factor'
Flight,Cargo,'Plain, Valley',5,12,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3,20,0-10,'Human factor'
'Takeoff (climb)',Ferry,'Airport (less than 10 km from airport)',4,0,0-10,'Human factor'
'Landing (descent or approach)',Humanitarian,'Airport (less than 10 km from airport)',3,0,0-10,'Technical failure'
'Landing (descent or approach)',Training,'Airport (less than 10 km from airport)',2,0,0-10,'Human factor'
Flight,'Spraying (Agricultural)','Airport (less than 10 km from airport)',1,0,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',8,140,0-10,'Human factor'
NA,Military,'Airport (less than 10 km from airport)',0,0,0-10,Unknown
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',2,1,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Lake, Sea, Ocean, River',2,15,0-10,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',2,6,0-10,'Technical failure'
'Takeoff (climb)',Military,'Airport (less than 10 km from airport)',6,9,0-10,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',5,0,0-10,'Technical failure'
'Landing (descent or approach)',Executive/Corporate/Business,'Airport (less than 10 km from airport)',1,4,0-10,'Human factor'
Flight,'Fire fighting',Mountains,2,0,0-10,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5,92,0-10,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,0,0-10,'Technical failure'
'Landing (descent or approach)',Positioning,'Airport (less than 10 km from airport)',1,0,0-10,'Human factor'
Flight,'Scheduled Revenue Flight','Lake, Sea, Ocean, River',3,13,0-10,'Technical failure'
'Takeoff (climb)',Ambulance,'Airport (less than 10 km from airport)',2,11,0-10,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',2,2,0-10,'Human factor'
'Landing (descent or approach)',Test,'Airport (less than 10 km from airport)',3,0,0-10,Unknown
'Landing (descent or approach)',Private,'Airport (less than 10 km from airport)',1,2,0-10,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,3,3,0-10,'Human factor'
'Takeoff (climb)',Executive/Corporate/Business,City,1,0,0-10,'Technical failure'
'Landing (descent or approach)',Executive/Corporate/Business,'Airport (less than 10 km from airport)',1,1,0-10,'Technical failure'
'Landing (descent or approach)','Survey / Patrol / Reconnaissance','Plain, Valley',2,0,0-10,Unknown
Taxiing,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,0,0-10,Unknown
'Landing (descent or approach)',Cargo,'Plain, Valley',7,3,0-10,'Technical failure'
'Landing (descent or approach)',Test,'Airport (less than 10 km from airport)',2,0,0-10,'Human factor'
'Landing (descent or approach)',Private,'Airport (less than 10 km from airport)',1,2,0-10,'Technical failure'
'Takeoff (climb)',Private,'Airport (less than 10 km from airport)',2,0,0-10,Unknown
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Mountains,2,5,0-10,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',1,6,0-10,'Human factor'
Flight,Military,'Lake, Sea, Ocean, River',4,0,0-10,'Terrorism act, Hijacking, Sabotage'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3,15,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5,58,0-10,'Technical failure'
Flight,Private,'Lake, Sea, Ocean, River',1,1,0-10,Unknown
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',1,2,0-10,'Other causes'
Flight,Ferry,'Lake, Sea, Ocean, River',1,0,0-10,'Technical failure'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',2,4,0-10,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',5,42,0-10,'Technical failure'
Flight,'Scheduled Revenue Flight','Plain, Valley',0,0,0-10,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,1,5,0-10,'Human factor'
'Landing (descent or approach)',Private,'Airport (less than 10 km from airport)',1,2,0-10,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Lake, Sea, Ocean, River',2,2,0-10,'Technical failure'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',5,0,0-10,'Human factor'
Flight,'Illegal (smuggling)','Plain, Valley',1,0,0-10,'Human factor'
'Takeoff (climb)','Survey / Patrol / Reconnaissance','Airport (less than 10 km from airport)',1,3,0-10,'Technical failure'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',2,0,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6,90,0-10,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',3,32,0-10,'Technical failure'
Flight,'Spraying (Agricultural)','Plain, Valley',2,0,0-10,Unknown
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,8,0-10,'Technical failure'
'Landing (descent or approach)',Cargo,'Plain, Valley',1,0,0-10,'Other causes'
'Landing (descent or approach)',Delivery,'Airport (less than 10 km from airport)',2,0,0-10,'Technical failure'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',0,0,0-10,'Technical failure'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',2,0,0-10,'Technical failure'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,4,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,10,0-10,Weather
Flight,Cargo,Mountains,1,0,0-10,Unknown
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',8,143,0-10,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',4,0,0-10,'Human factor'
'Takeoff (climb)','Spraying (Agricultural)','Airport (less than 10 km from airport)',2,0,0-10,Weather
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',5,0,0-10,Unknown
Flight,Training,Mountains,7,0,0-10,'Human factor'
'Landing (descent or approach)',Private,'Airport (less than 10 km from airport)',2,0,0-10,'Other causes'
Flight,Demonstration,'Lake, Sea, Ocean, River',1,7,0-10,'Human factor'
Flight,Military,'Plain, Valley',3,3,0-10,Unknown
Flight,Cargo,Mountains,1,0,0-10,Unknown
Taxiing,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,0,0-10,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',3,7,0-10,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',4,6,0-10,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4,3,0-10,'Other causes'
'Takeoff (climb)','Postal (mail)','Airport (less than 10 km from airport)',2,1,0-10,'Human factor'
'Takeoff (climb)',Ferry,'Airport (less than 10 km from airport)',2,0,0-10,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,13,0-10,Weather
'Landing (descent or approach)',Calibration,'Airport (less than 10 km from airport)',3,5,0-10,'Human factor'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',1,1,0-10,'Human factor'
'Landing (descent or approach)',Private,'Airport (less than 10 km from airport)',1,0,0-10,'Human factor'
'Takeoff (climb)',Private,City,1,6,0-10,'Technical failure'
'Takeoff (climb)',Ferry,'Airport (less than 10 km from airport)',2,0,0-10,'Technical failure'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',12,83,0-10,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',8,146,0-10,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',7,11,0-10,'Technical failure'
'Landing (descent or approach)','Postal (mail)','Airport (less than 10 km from airport)',2,0,0-10,'Technical failure'
'Landing (descent or approach)',Executive/Corporate/Business,'Airport (less than 10 km from airport)',1,5,0-10,'Human factor'
Flight,Ambulance,Mountains,1,3,0-10,'Human factor'
Parking,Test,'Airport (less than 10 km from airport)',3,0,0-10,'Technical failure'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',8,0,0-10,Unknown
'Landing (descent or approach)',Private,'Airport (less than 10 km from airport)',1,2,0-10,Unknown
Flight,Executive/Corporate/Business,'Lake, Sea, Ocean, River',1,0,0-10,'Technical failure'
Flight,'Scheduled Revenue Flight',Mountains,1,9,0-10,'Human factor'
'Takeoff (climb)',Positioning,'Airport (less than 10 km from airport)',2,0,0-10,'Human factor'
Flight,Humanitarian,'Plain, Valley',2,3,0-10,Weather
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',2,1,0-10,'Human factor'
Flight,Private,Desert,1,0,0-10,'Human factor'
'Takeoff (climb)',Military,'Airport (less than 10 km from airport)',10,0,0-10,Unknown
'Takeoff (climb)',Cargo,'Airport (less than 10 km from airport)',2,0,0-10,'Human factor'
Flight,Private,'Lake, Sea, Ocean, River',1,1,0-10,'Technical failure'
'Takeoff (climb)',Positioning,City,2,1,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4,37,0-10,'Human factor'
Flight,Military,Desert,0,0,0-10,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4,17,0-10,Unknown
'Landing (descent or approach)',Private,'Airport (less than 10 km from airport)',1,2,0-10,'Human factor'
NA,Military,'Airport (less than 10 km from airport)',0,0,0-10,Unknown
Flight,Cargo,Mountains,2,0,0-10,'Human factor'
'Takeoff (climb)',Ferry,'Airport (less than 10 km from airport)',1,0,0-10,'Technical failure'
Flight,'Scheduled Revenue Flight',Mountains,1,3,0-10,Unknown
'Landing (descent or approach)',Cargo,'Lake, Sea, Ocean, River',2,0,0-10,'Human factor'
'Takeoff (climb)',Military,'Airport (less than 10 km from airport)',4,26,11-40,Weather
'Takeoff (climb)','Skydiving / Paratroopers','Airport (less than 10 km from airport)',2,20,11-40,'Other causes'
Flight,'Scheduled Revenue Flight',Mountains,2,16,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,10,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,2,13,11-40,'Human factor'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',4,10,11-40,'Technical failure'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Lake, Sea, Ocean, River',5,25,11-40,'Technical failure'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',4,11,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3,39,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4,41,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6,139,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,4,12,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',1,10,11-40,Weather
Flight,'Scheduled Revenue Flight',Mountains,5,26,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,5,28,11-40,Weather
'Takeoff (climb)','Survey / Patrol / Reconnaissance','Airport (less than 10 km from airport)',4,20,11-40,'Other causes'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Plain, Valley',3,20,11-40,'Technical failure'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,13,11-40,'Terrorism act, Hijacking, Sabotage'
Flight,'Scheduled Revenue Flight',Mountains,1,10,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,17,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,2,10,11-40,'Human factor'
Flight,Cargo,'Plain, Valley',5,8,11-40,'Technical failure'
'Landing (descent or approach)',Military,Mountains,3,13,11-40,'Human factor'
'Landing (descent or approach)',Humanitarian,'Airport (less than 10 km from airport)',6,30,11-40,'Technical failure'
'Takeoff (climb)',Humanitarian,'Plain, Valley',4,10,11-40,'Terrorism act, Hijacking, Sabotage'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3,16,11-40,Weather
'Takeoff (climb)',Military,Mountains,3,22,11-40,'Human factor'
'Takeoff (climb)',Ferry,'Airport (less than 10 km from airport)',16,0,11-40,'Technical failure'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',4,20,11-40,'Technical failure'
'Takeoff (climb)',Military,'Airport (less than 10 km from airport)',6,18,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,10,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Lake, Sea, Ocean, River',3,19,11-40,'Other causes'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,5,8,11-40,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)','Plain, Valley',4,35,11-40,Weather
Flight,Government,Mountains,3,8,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,2,26,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,2,20,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6,83,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,19,11-40,'Technical failure'
Taxiing,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',6,114,11-40,'Technical failure'
Flight,'Scheduled Revenue Flight',Mountains,2,15,11-40,'Human factor'
'Takeoff (climb)',Government,'Lake, Sea, Ocean, River',2,10,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',3,11,11-40,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',2,10,11-40,'Human factor'
'Takeoff (climb)',Demonstration,'Airport (less than 10 km from airport)',2,11,11-40,'Technical failure'
Flight,'Scheduled Revenue Flight','Lake, Sea, Ocean, River',4,10,11-40,Weather
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Mountains,1,12,11-40,'Human factor'
'Takeoff (climb)',Cargo,'Airport (less than 10 km from airport)',7,6,11-40,Weather
'Takeoff (climb)',Training,'Airport (less than 10 km from airport)',8,3,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,9,11-40,'Technical failure'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',5,9,11-40,'Technical failure'
Flight,'Scheduled Revenue Flight',Mountains,7,28,11-40,'Technical failure'
Flight,Military,'Plain, Valley',4,32,11-40,Unknown
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Mountains,2,12,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5,33,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5,7,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,18,11-40,'Human factor'
Flight,'Skydiving / Paratroopers',Mountains,4,10,11-40,'Technical failure'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',4,36,11-40,'Terrorism act, Hijacking, Sabotage'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',17,0,11-40,Unknown
'Takeoff (climb)',Cargo,'Airport (less than 10 km from airport)',6,7,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5,28,11-40,'Human factor'
'Takeoff (climb)',Military,'Airport (less than 10 km from airport)',7,27,11-40,Unknown
Flight,'Scheduled Revenue Flight',Mountains,6,26,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,14,11-40,'Human factor'
Flight,Military,Desert,14,0,11-40,'Terrorism act, Hijacking, Sabotage'
'Takeoff (climb)','Scheduled Revenue Flight',Mountains,2,26,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',City,2,19,11-40,'Technical failure'
'Takeoff (climb)',Military,'Airport (less than 10 km from airport)',8,9,11-40,'Technical failure'
Flight,'Scheduled Revenue Flight','Lake, Sea, Ocean, River',2,12,11-40,'Human factor'
Flight,Delivery,'Lake, Sea, Ocean, River',6,10,11-40,'Technical failure'
Flight,'Scheduled Revenue Flight',Mountains,2,15,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',9,65,11-40,'Human factor'
'Landing (descent or approach)',Humanitarian,'Airport (less than 10 km from airport)',2,16,11-40,'Human factor'
Flight,Military,Mountains,3,20,11-40,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Mountains,5,21,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4,59,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,5,10,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3,18,11-40,'Terrorism act, Hijacking, Sabotage'
'Landing (descent or approach)',Government,'Lake, Sea, Ocean, River',7,50,11-40,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Mountains,3,8,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,4,31,11-40,'Human factor'
'Landing (descent or approach)',Government,'Airport (less than 10 km from airport)',3,9,11-40,'Terrorism act, Hijacking, Sabotage'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)','Plain, Valley',9,18,11-40,'Technical failure'
'Landing (descent or approach)',Training,City,5,0,11-40,'Human factor'
Flight,'Survey / Patrol / Reconnaissance','Lake, Sea, Ocean, River',13,0,11-40,'Human factor'
