'Flight phase','Flight type','Crash site','Crew on board','Pax on board','Total fatalities','Crash cause'
Flight,Military,'Lake, Sea, Ocean, River',12,0,0-10,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',20,195,0-10,'Technical failure'
Flight,Cargo,'Plain, Valley',2,0,0-10,'Technical failure'
Flight,Delivery,Mountains,3,0,0-10,Weather
'Landing (descent or approach)',Private,'Airport (less than 10 km from airport)',1,0,0-10,'Human factor'
Flight,Military,'Plain, Valley',6,0,0-10,Unknown
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',1,0,0-10,Weather
'Takeoff (climb)',Private,'Airport (less than 10 km from airport)',1,2,0-10,'Other causes'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',3,9,0-10,'Technical failure'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',10,0,0-10,'Terrorism act, Hijacking, Sabotage'
'Takeoff (climb)',Cargo,'Airport (less than 10 km from airport)',3,4,0-10,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Lake, Sea, Ocean, River',1,2,0-10,'Human factor'
Flight,'Fire fighting','Plain, Valley',3,0,0-10,'Technical failure'
'Landing (descent or approach)',Private,Mountains,1,1,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5,39,0-10,'Human factor'
'Landing (descent or approach)',Government,'Airport (less than 10 km from airport)',2,11,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6,56,0-10,'Technical failure'
'Landing (descent or approach)',Cargo,'Lake, Sea, Ocean, River',2,1,0-10,'Other causes'
Flight,'Illegal (smuggling)','Plain, Valley',1,0,0-10,'Human factor'
'Takeoff (climb)',Test,'Airport (less than 10 km from airport)',2,0,0-10,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4,35,0-10,'Human factor'
'Takeoff (climb)',Training,'Airport (less than 10 km from airport)',3,0,0-10,'Human factor'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',2,0,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6,52,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',7,136,0-10,Weather
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,0,0-10,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5,39,0-10,'Human factor'
'Takeoff (climb)',Private,'Lake, Sea, Ocean, River',1,3,0-10,'Human factor'
'Takeoff (climb)',Cargo,'Airport (less than 10 km from airport)',2,0,0-10,'Human factor'
Flight,Private,Mountains,1,1,0-10,'Human factor'
'Takeoff (climb)',Government,'Airport (less than 10 km from airport)',2,3,0-10,Unknown
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',1,1,0-10,'Human factor'
'Takeoff (climb)',Military,'Airport (less than 10 km from airport)',2,4,0-10,Unknown
Flight,Cargo,'Plain, Valley',1,0,0-10,'Technical failure'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5,48,0-10,'Other causes'
'Landing (descent or approach)','Postal (mail)','Airport (less than 10 km from airport)',2,1,0-10,'Human factor'
'Takeoff (climb)',Cargo,'Airport (less than 10 km from airport)',6,0,0-10,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5,124,0-10,'Human factor'
'Landing (descent or approach)',Government,'Airport (less than 10 km from airport)',2,2,0-10,Weather
'Landing (descent or approach)',Ambulance,'Airport (less than 10 km from airport)',2,1,0-10,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)','Plain, Valley',1,6,0-10,'Human factor'
'Takeoff (climb)','Skydiving / Paratroopers','Airport (less than 10 km from airport)',2,13,0-10,'Human factor'
Flight,NA,'Plain, Valley',0,0,0-10,Unknown
