'Flight phase','Flight type',Survivors,'Crash site',Region,'Crew on board','Crew fatalities','Pax on board','PAX fatalities','Other fatalities','Total fatalities','Crash cause'
Flight,'Scheduled Revenue Flight',Yes,'Plain, Valley',Asia,0,0,0,0,0,0,'Technical failure'
Flight,'Scheduled Revenue Flight',Yes,'Plain, Valley',Asia,2,0,0,0,0,0,'Technical failure'
'Landing (descent or approach)',Cargo,No,'Airport (less than 10 km from airport)',Asia,9,9,0,0,0,9,'Human factor'
'Takeoff (climb)',Military,No,'Plain, Valley',Africa,5,5,20,20,0,25,'Terrorism act, Hijacking, Sabotage'
Flight,'Spraying (Agricultural)',No,Mountains,Asia,1,1,0,0,0,1,Unknown
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Yes,City,'North America',2,2,1,0,0,2,'Terrorism act, Hijacking, Sabotage'
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Africa,7,0,45,0,0,0,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Oceania,2,0,0,0,0,0,'Technical failure'
'Takeoff (climb)',Training,Yes,'Airport (less than 10 km from airport)','North America',2,0,0,0,0,0,'Technical failure'
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,3,0,14,0,0,0,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Lake, Sea, Ocean, River','Central America',2,0,18,0,0,0,'Human factor'
Flight,Ferry,Yes,'Lake, Sea, Ocean, River','Central America',3,1,0,0,0,1,'Technical failure'
Flight,Demonstration,No,'Lake, Sea, Ocean, River',Europe,1,1,1,1,0,2,'Human factor'
Flight,Private,Yes,'Lake, Sea, Ocean, River',Asia,1,0,6,1,0,1,Unknown
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)',Asia,2,0,4,1,0,1,'Other causes'
NA,'Scheduled Revenue Flight',Yes,NA,'Central America',0,0,0,0,0,0,Unknown
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Lake, Sea, Ocean, River','Central America',3,3,19,17,0,20,'Other causes'
'Takeoff (climb)',Military,No,'Airport (less than 10 km from airport)',Africa,6,6,18,14,0,20,'Technical failure'
Flight,Military,No,'Airport (less than 10 km from airport)',Asia,4,4,6,6,0,10,Unknown
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,5,0,30,0,1,1,'Human factor'
Flight,Private,No,Mountains,'North America',1,1,3,3,0,4,'Human factor'
'Takeoff (climb)',Cargo,Yes,'Airport (less than 10 km from airport)',Asia,2,0,22,7,0,7,'Technical failure'
Flight,'Spraying (Agricultural)',Yes,'Plain, Valley',Asia,0,0,0,0,0,0,Unknown
'Landing (descent or approach)',Training,Yes,'Airport (less than 10 km from airport)','North America',2,0,0,0,0,0,'Technical failure'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)','South America',2,0,4,0,0,0,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',No,Mountains,'North America',1,1,2,2,0,3,'Human factor'
'Takeoff (climb)',Cargo,No,City,'Central America',3,3,0,0,24,27,'Technical failure'
Flight,Military,No,'Plain, Valley',Asia,7,7,0,0,0,7,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,20,0,195,0,0,0,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','Central America',4,4,36,20,0,24,'Human factor'
Flight,Military,No,Mountains,Europe,5,5,5,5,0,10,'Human factor'
Taxiing,'Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,6,0,114,8,0,16,'Technical failure'
