'Flight phase','Flight type',Survivors,'Crash site',Region,'Crew on board','Crew fatalities','Pax on board','PAX fatalities','Other fatalities','Total fatalities','Crash cause'
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Africa,2,0,0,0,0,0,'Technical failure'
'Takeoff (climb)',Training,No,'Airport (less than 10 km from airport)',Europe,2,2,0,0,0,2,'Human factor'
Taxiing,Test,Yes,'Airport (less than 10 km from airport)','North America',1,1,1,0,0,1,'Human factor'
Flight,Training,No,City,'North America',6,6,0,0,0,6,Unknown
Flight,'Scheduled Revenue Flight',Yes,Mountains,Asia,7,5,28,9,0,14,'Technical failure'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Africa,6,1,7,0,0,1,'Human factor'
Flight,Test,Yes,'Plain, Valley',Europe,9,8,0,0,0,8,'Other causes'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)',Asia,5,0,62,0,0,0,'Other causes'
Flight,Government,Yes,'Airport (less than 10 km from airport)',Asia,3,0,0,0,0,0,Unknown
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)','South America',3,0,0,0,0,0,Unknown
Flight,'Scheduled Revenue Flight',No,Mountains,Asia,4,4,27,27,0,31,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,2,2,14,13,0,15,'Technical failure'
'Takeoff (climb)',Government,No,'Airport (less than 10 km from airport)','Central America',2,2,7,7,0,9,Unknown
Flight,'Scheduled Revenue Flight',Yes,'Lake, Sea, Ocean, River','South America',3,1,8,7,0,8,'Technical failure'
'Landing (descent or approach)',Demonstration,No,'Airport (less than 10 km from airport)','South America',2,2,3,3,0,5,Unknown
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)',Africa,2,0,8,0,0,0,'Other causes'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Lake, Sea, Ocean, River',Africa,0,0,0,0,0,0,'Technical failure'
'Landing (descent or approach)',Private,Yes,'Airport (less than 10 km from airport)','South America',1,0,2,0,0,0,Unknown
'Landing (descent or approach)',Cargo,No,'Airport (less than 10 km from airport)',Asia,5,5,9,9,0,14,'Technical failure'
'Landing (descent or approach)',Military,Yes,'Airport (less than 10 km from airport)',Europe,0,0,0,0,0,0,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight',No,'Airport (less than 10 km from airport)','North America',1,1,2,2,0,3,'Human factor'
'Takeoff (climb)',Test,Yes,'Airport (less than 10 km from airport)','South America',3,0,0,0,0,0,'Technical failure'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',No,Mountains,'North America',1,1,1,1,0,2,'Human factor'
'Takeoff (climb)',Cargo,Yes,'Lake, Sea, Ocean, River','North America',3,0,2,0,0,0,'Other causes'
'Landing (descent or approach)',Private,Yes,'Airport (less than 10 km from airport)','North America',2,0,6,0,0,0,'Human factor'
Flight,'Scheduled Revenue Flight',No,Mountains,'North America',1,1,2,2,0,3,'Human factor'
'Takeoff (climb)',Military,No,'Airport (less than 10 km from airport)',Asia,6,6,27,27,0,33,'Other causes'
Flight,'Survey / Patrol / Reconnaissance',Yes,'Airport (less than 10 km from airport)',Europe,0,0,0,0,0,0,Unknown
Flight,Military,No,Mountains,'North America',2,2,6,6,0,8,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','South America',2,0,14,0,0,0,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','North America',2,0,0,0,0,0,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,Mountains,Asia,6,6,25,24,0,30,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',No,Mountains,'Central America',6,6,28,28,0,34,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',No,Mountains,'North America',1,1,2,2,0,3,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','South America',6,0,107,0,0,0,'Technical failure'
'Takeoff (climb)',Executive/Corporate/Business,Yes,'Airport (less than 10 km from airport)','North America',2,0,2,0,0,0,'Human factor'
Flight,Private,No,Mountains,'North America',1,1,5,5,0,6,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,3,0,17,0,0,0,'Human factor'
'Landing (descent or approach)',Executive/Corporate/Business,Yes,'Airport (less than 10 km from airport)','North America',1,0,2,0,0,0,'Technical failure'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',No,Mountains,Asia,10,10,131,131,0,141,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Africa,4,0,0,0,0,0,'Human factor'
'Landing (descent or approach)',Training,Yes,'Airport (less than 10 km from airport)','North America',1,0,0,0,0,0,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)','South America',4,0,0,0,0,0,'Human factor'
'Landing (descent or approach)',Executive/Corporate/Business,Yes,'Airport (less than 10 km from airport)',Europe,2,0,5,0,0,0,Weather
'Takeoff (climb)','Scheduled Revenue Flight',No,'Lake, Sea, Ocean, River','South America',1,1,7,7,0,8,Unknown
Flight,Refuelling,No,'Plain, Valley','North America',6,6,0,0,0,6,Unknown
Flight,Refuelling,No,'Plain, Valley','North America',7,7,0,0,0,7,Unknown
'Landing (descent or approach)',Training,Yes,'Airport (less than 10 km from airport)','South America',2,0,2,0,0,0,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)','Central America',4,0,0,0,0,0,Weather
Flight,'Survey / Patrol / Reconnaissance',No,'Plain, Valley',Europe,1,1,1,1,0,2,Unknown
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',No,City,Europe,1,1,2,2,0,3,Weather
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,8,0,146,0,0,0,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',NA,'Airport (less than 10 km from airport)',Asia,0,0,0,0,0,0,Unknown
'Takeoff (climb)',Cargo,Yes,'Airport (less than 10 km from airport)',Asia,2,0,0,0,0,0,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',No,'Airport (less than 10 km from airport)','Central America',1,1,8,8,0,9,'Technical failure'
'Landing (descent or approach)',Military,No,City,'South America',3,3,7,7,3,13,'Human factor'
'Landing (descent or approach)',Executive/Corporate/Business,No,'Airport (less than 10 km from airport)',Europe,1,1,3,3,0,4,Unknown
'Landing (descent or approach)',Demonstration,Yes,'Airport (less than 10 km from airport)',Europe,2,0,4,0,0,0,'Human factor'
'Landing (descent or approach)',Cargo,No,'Airport (less than 10 km from airport)','North America',1,1,0,0,0,1,'Other causes'
Flight,Private,No,'Plain, Valley','North America',1,1,1,1,0,2,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight',No,'Airport (less than 10 km from airport)',Asia,2,2,1,1,0,3,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','North America',1,0,6,0,0,0,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',No,Mountains,Africa,6,6,31,31,0,37,'Human factor'
Flight,Private,No,'Lake, Sea, Ocean, River','North America',1,1,1,1,0,2,Unknown
'Takeoff (climb)',Positioning,No,'Airport (less than 10 km from airport)',Europe,1,1,2,2,0,3,'Human factor'
'Takeoff (climb)',Positioning,No,'Airport (less than 10 km from airport)','North America',1,1,0,0,0,1,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Lake, Sea, Ocean, River','Central America',1,0,3,0,0,0,Unknown
Flight,'Scheduled Revenue Flight',No,Mountains,Oceania,1,1,5,5,0,6,'Human factor'
Flight,Training,Yes,'Lake, Sea, Ocean, River',Asia,2,0,0,0,0,0,'Technical failure'
'Takeoff (climb)',Private,No,'Airport (less than 10 km from airport)',Europe,1,1,0,0,0,1,Unknown
'Landing (descent or approach)',Government,No,'Airport (less than 10 km from airport)','North America',2,2,6,6,0,8,'Human factor'
'Takeoff (climb)',Private,Yes,'Airport (less than 10 km from airport)','North America',2,0,2,0,0,0,'Human factor'
Flight,Military,Yes,'Lake, Sea, Ocean, River',Asia,2,0,2,0,0,0,Unknown
'Takeoff (climb)',Private,No,'Plain, Valley','North America',1,1,4,4,0,5,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)',Europe,13,2,327,54,0,56,'Human factor'
'Landing (descent or approach)',Cargo,No,Mountains,'North America',1,1,0,0,0,1,Weather
'Landing (descent or approach)','Scheduled Revenue Flight',No,'Airport (less than 10 km from airport)',Africa,10,10,147,147,0,157,'Human factor'
Flight,Cargo,No,Mountains,'North America',1,1,0,0,0,1,Unknown
'Takeoff (climb)',Ambulance,Yes,'Airport (less than 10 km from airport)',Europe,1,0,1,0,0,0,'Technical failure'
Flight,Ambulance,No,Mountains,'North America',1,1,1,1,0,2,Weather
'Takeoff (climb)',Military,Yes,'Airport (less than 10 km from airport)','South America',0,0,0,0,0,0,Weather
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','North America',3,0,28,0,0,0,'Human factor'
'Landing (descent or approach)',Positioning,Yes,'Airport (less than 10 km from airport)','Central America',1,0,0,0,0,0,Unknown
Flight,'Survey / Patrol / Reconnaissance',Yes,'Lake, Sea, Ocean, River',Asia,2,2,4,2,0,4,Unknown
'Landing (descent or approach)',Positioning,Yes,'Airport (less than 10 km from airport)','North America',1,0,0,0,0,0,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Europe,4,0,19,4,0,4,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',No,Mountains,'Central America',2,2,7,7,0,9,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,13,0,152,0,0,0,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,5,4,39,12,0,16,'Technical failure'
Flight,Cargo,No,Mountains,Europe,2,2,0,0,0,2,'Human factor'
'Takeoff (climb)',Cargo,No,'Airport (less than 10 km from airport)','North America',2,2,0,0,0,2,'Human factor'
'Takeoff (climb)',Private,No,'Airport (less than 10 km from airport)','North America',1,1,1,1,0,2,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Africa,6,0,0,0,0,0,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,4,0,19,0,0,0,'Technical failure'
'Landing (descent or approach)',Training,Yes,'Airport (less than 10 km from airport)',Asia,2,0,0,0,0,0,'Human factor'
'Takeoff (climb)','Skydiving / Paratroopers',Yes,'Airport (less than 10 km from airport)',Asia,1,0,10,0,0,0,'Human factor'
Flight,Ferry,No,'Plain, Valley',Europe,1,1,0,0,0,1,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Oceania,1,0,3,0,0,0,Weather
Flight,Cargo,No,'Plain, Valley','South America',3,3,0,0,0,3,'Technical failure'
'Takeoff (climb)',Cargo,Yes,'Airport (less than 10 km from airport)',Africa,3,0,18,6,8,14,'Technical failure'
'Landing (descent or approach)',Executive/Corporate/Business,Yes,'Airport (less than 10 km from airport)','North America',2,0,6,0,0,0,'Human factor'
Flight,'Scheduled Revenue Flight',Yes,'Plain, Valley',Asia,2,0,2,0,0,0,'Human factor'
Flight,'Scheduled Revenue Flight',No,Mountains,Asia,3,3,11,11,0,14,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','South America',12,0,156,0,0,0,'Human factor'
'Takeoff (climb)',Test,No,'Airport (less than 10 km from airport)','North America',7,7,0,0,0,7,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,4,0,23,0,0,0,Unknown
'Takeoff (climb)',Executive/Corporate/Business,No,City,Europe,1,1,0,0,0,1,'Technical failure'
'Takeoff (climb)',Private,Yes,'Airport (less than 10 km from airport)',Europe,1,0,1,0,0,0,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',No,'Airport (less than 10 km from airport)','South America',2,2,4,4,0,6,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',No,'Plain, Valley',Asia,12,12,119,119,0,131,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)','South America',0,0,0,0,0,0,Unknown
'Takeoff (climb)',Humanitarian,Yes,'Airport (less than 10 km from airport)',Africa,4,0,0,0,0,0,Unknown
'Landing (descent or approach)',Private,Yes,'Airport (less than 10 km from airport)','North America',1,0,0,0,0,0,'Technical failure'
'Takeoff (climb)',Private,No,'Airport (less than 10 km from airport)','North America',1,1,3,3,0,4,'Human factor'
'Landing (descent or approach)',Military,Yes,'Airport (less than 10 km from airport)',Asia,8,0,111,0,0,0,'Technical failure'
'Takeoff (climb)',Topographic,No,'Airport (less than 10 km from airport)','North America',1,1,1,1,0,2,'Human factor'
'Landing (descent or approach)',Training,No,'Airport (less than 10 km from airport)',Africa,3,3,0,0,0,3,Unknown
'Takeoff (climb)',Military,No,City,Asia,2,2,3,3,1,6,'Technical failure'
'Landing (descent or approach)',Private,Yes,'Airport (less than 10 km from airport)',Europe,2,0,7,0,0,0,Unknown
'Landing (descent or approach)',Executive/Corporate/Business,Yes,'Airport (less than 10 km from airport)','North America',1,0,3,0,0,0,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','Central America',3,0,40,0,0,0,'Technical failure'
'Takeoff (climb)',Cargo,Yes,'Airport (less than 10 km from airport)','Central America',3,0,0,0,0,0,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','North America',1,0,1,0,0,0,'Human factor'
'Takeoff (climb)',Cargo,No,'Airport (less than 10 km from airport)','South America',2,2,0,0,0,2,'Technical failure'
Flight,Private,No,Mountains,Europe,1,1,4,4,0,5,'Human factor'
'Landing (descent or approach)',Executive/Corporate/Business,Yes,'Airport (less than 10 km from airport)','North America',1,0,1,0,0,0,'Technical failure'
'Landing (descent or approach)',Cargo,No,'Airport (less than 10 km from airport)','North America',1,1,0,0,0,1,'Human factor'
'Landing (descent or approach)',Private,No,'Airport (less than 10 km from airport)','North America',1,1,1,1,0,2,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',No,'Lake, Sea, Ocean, River',Asia,2,2,4,4,0,6,Weather
'Takeoff (climb)',Cargo,No,'Airport (less than 10 km from airport)',Europe,2,2,0,0,0,2,'Technical failure'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',No,Mountains,'North America',1,1,1,1,0,2,'Human factor'
'Landing (descent or approach)',Cargo,No,'Airport (less than 10 km from airport)','North America',1,1,0,0,0,1,'Human factor'
Flight,Private,No,'Plain, Valley','Central America',1,1,5,5,0,6,Unknown
'Takeoff (climb)',Delivery,Yes,'Airport (less than 10 km from airport)','North America',2,0,0,0,0,0,'Human factor'
'Takeoff (climb)',Cargo,Yes,'Airport (less than 10 km from airport)','South America',3,0,1,0,0,0,'Technical failure'
Flight,Ambulance,No,'Plain, Valley','North America',1,1,2,2,0,3,'Technical failure'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)','South America',2,0,5,0,0,0,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',No,Mountains,'South America',1,1,3,3,0,4,Weather
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)',Europe,2,2,8,1,0,3,'Human factor'
Flight,'Scheduled Revenue Flight',No,'Plain, Valley','South America',2,2,4,4,0,6,'Human factor'
Flight,'Scheduled Revenue Flight',Yes,'Plain, Valley',Africa,6,0,29,0,0,0,'Technical failure'
'Takeoff (climb)',Cargo,No,'Airport (less than 10 km from airport)','North America',1,1,0,0,0,1,'Other causes'
'Landing (descent or approach)',Training,Yes,'Airport (less than 10 km from airport)',Europe,2,0,0,0,0,0,Unknown
Flight,'Survey / Patrol / Reconnaissance',No,'Lake, Sea, Ocean, River',World,5,5,0,0,0,5,Unknown
'Landing (descent or approach)',Test,No,'Airport (less than 10 km from airport)',Asia,5,5,1,1,0,6,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Lake, Sea, Ocean, River',Asia,4,0,34,0,0,0,'Human factor'
'Landing (descent or approach)',Executive/Corporate/Business,No,'Airport (less than 10 km from airport)','North America',1,1,3,3,0,4,'Human factor'
Flight,Private,No,'Plain, Valley',Europe,1,1,5,5,0,6,Unknown
Flight,Test,No,'Lake, Sea, Ocean, River','South America',3,3,8,8,0,11,Unknown
'Takeoff (climb)','Scheduled Revenue Flight',No,'Airport (less than 10 km from airport)','North America',1,1,1,1,0,2,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','Central America',9,0,227,0,0,0,'Human factor'
'Landing (descent or approach)',Ambulance,No,Mountains,'North America',1,1,3,3,0,4,'Human factor'
Flight,Cargo,No,'Plain, Valley','North America',1,1,0,0,0,1,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,4,0,28,0,0,0,'Human factor'
Flight,'Spraying (Agricultural)',NA,'Plain, Valley',Europe,0,0,0,0,0,0,Unknown
Flight,'Spraying (Agricultural)',NA,'Plain, Valley',Asia,0,0,0,0,0,0,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','North America',13,0,189,0,0,0,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Oceania,1,0,0,0,0,0,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,4,0,72,0,0,0,'Human factor'
'Takeoff (climb)',Training,Yes,'Airport (less than 10 km from airport)','North America',3,0,0,0,0,0,'Human factor'
'Landing (descent or approach)',Government,No,'Plain, Valley','North America',2,2,6,6,0,8,'Technical failure'
'Takeoff (climb)','Skydiving / Paratroopers',Yes,'Airport (less than 10 km from airport)','North America',2,0,40,0,0,0,'Technical failure'
'Takeoff (climb)',Cargo,No,'Airport (less than 10 km from airport)','South America',2,2,0,0,0,2,'Technical failure'
Flight,'Scheduled Revenue Flight',No,Mountains,Asia,6,6,26,26,0,32,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,6,2,112,53,0,55,'Human factor'
Flight,Humanitarian,Yes,'Plain, Valley',Africa,7,1,0,0,0,1,'Terrorism act, Hijacking, Sabotage'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',No,'Lake, Sea, Ocean, River',Africa,5,5,25,25,0,30,'Technical failure'
'Landing (descent or approach)',Private,Yes,'Airport (less than 10 km from airport)','North America',1,0,2,1,0,1,'Human factor'
Flight,Military,No,Mountains,Europe,1,1,2,2,0,3,Weather
Flight,Military,No,Mountains,Asia,5,5,71,71,0,76,'Human factor'
Flight,Training,No,'Plain, Valley','North America',2,2,0,0,0,2,'Human factor'
Flight,'Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','North America',3,0,27,0,0,0,'Human factor'
'Landing (descent or approach)',Private,No,'Airport (less than 10 km from airport)','North America',2,2,0,0,0,2,'Human factor'
'Takeoff (climb)',Private,No,'Airport (less than 10 km from airport)','North America',1,1,1,1,0,2,'Human factor'
Flight,Private,Yes,'Plain, Valley','North America',1,0,2,0,0,0,'Human factor'
'Landing (descent or approach)',Cargo,No,'Airport (less than 10 km from airport)','North America',1,1,0,0,0,1,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,0,0,0,0,0,0,Weather
Flight,Positioning,Yes,'Plain, Valley','North America',1,0,0,0,0,0,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Lake, Sea, Ocean, River','Central America',3,0,27,0,0,0,'Human factor'
'Landing (descent or approach)',Delivery,Yes,'Airport (less than 10 km from airport)','South America',4,0,0,0,0,0,Unknown
'Landing (descent or approach)',Cargo,No,'Airport (less than 10 km from airport)',Oceania,1,1,1,1,0,2,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','South America',0,0,0,0,0,0,Unknown
Flight,Test,Yes,'Lake, Sea, Ocean, River','Central America',2,1,3,2,0,3,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Lake, Sea, Ocean, River','South America',2,1,0,0,0,1,'Human factor'
Flight,'Scheduled Revenue Flight',No,Mountains,'South America',7,7,125,125,0,132,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Plain, Valley',Asia,0,0,0,0,0,0,Weather
'Landing (descent or approach)',Private,Yes,'Airport (less than 10 km from airport)','North America',1,1,1,0,0,1,'Human factor'
'Takeoff (climb)',Test,Yes,'Airport (less than 10 km from airport)','North America',2,2,1,0,0,2,'Human factor'
'Landing (descent or approach)',Training,No,'Airport (less than 10 km from airport)','North America',3,3,1,1,0,4,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Oceania,1,0,3,0,0,0,'Human factor'
'Takeoff (climb)',Military,Yes,'Airport (less than 10 km from airport)','South America',3,1,8,0,0,1,'Technical failure'
Flight,'Scheduled Revenue Flight',Yes,'Plain, Valley',Oceania,0,0,0,0,0,0,'Technical failure'
Flight,Private,No,'Plain, Valley','Central America',1,1,2,2,0,3,Unknown
'Landing (descent or approach)',Cargo,No,'Airport (less than 10 km from airport)','South America',2,2,0,0,0,2,'Human factor'
'Takeoff (climb)',Training,No,'Airport (less than 10 km from airport)',Europe,2,2,2,2,0,4,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',No,'Airport (less than 10 km from airport)',Africa,2,2,9,9,0,11,'Human factor'
'Takeoff (climb)',Cargo,No,'Airport (less than 10 km from airport)','North America',1,1,0,0,0,1,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Oceania,1,0,10,9,0,9,'Human factor'
'Takeoff (climb)',Executive/Corporate/Business,Yes,'Airport (less than 10 km from airport)','North America',1,0,0,0,0,0,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',No,'Airport (less than 10 km from airport)',Oceania,2,2,5,5,0,7,'Human factor'
'Landing (descent or approach)',Executive/Corporate/Business,Yes,'Airport (less than 10 km from airport)',Europe,1,0,2,0,0,0,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,2,0,20,0,0,0,'Human factor'
Flight,'Scheduled Revenue Flight',No,Mountains,Asia,5,5,28,28,0,33,Weather
Flight,'Fire fighting',No,Mountains,'North America',1,1,0,0,0,1,'Human factor'
'Takeoff (climb)',Cargo,Yes,'Plain, Valley','South America',3,0,0,0,0,0,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,7,0,72,0,0,0,'Human factor'
'Takeoff (climb)',Humanitarian,Yes,'Airport (less than 10 km from airport)',Africa,1,1,3,2,0,3,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Africa,1,0,3,0,0,0,Weather
'Landing (descent or approach)',Military,No,'Airport (less than 10 km from airport)','South America',2,2,1,1,0,3,Weather
Flight,Military,No,Mountains,'Central America',4,4,0,0,0,4,Unknown
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',No,'Plain, Valley',Africa,1,1,2,2,0,3,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Lake, Sea, Ocean, River',Asia,4,4,39,37,0,41,'Human factor'
Flight,'Spraying (Agricultural)',No,'Plain, Valley',Asia,1,1,2,2,0,3,'Human factor'
'Takeoff (climb)',Test,Yes,'Airport (less than 10 km from airport)',Asia,9,7,0,0,0,7,'Technical failure'
'Takeoff (climb)',Training,No,'Airport (less than 10 km from airport)',Africa,2,2,0,0,0,2,Unknown
'Takeoff (climb)',Training,No,'Airport (less than 10 km from airport)',Asia,8,8,3,3,0,11,'Technical failure'
Flight,Private,Yes,'Lake, Sea, Ocean, River','Central America',1,0,1,0,0,0,'Technical failure'
'Takeoff (climb)','Scheduled Revenue Flight',No,'Airport (less than 10 km from airport)','North America',1,1,2,2,0,3,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',No,'Plain, Valley','North America',1,1,4,4,0,5,Weather
Flight,Military,Yes,'Plain, Valley','South America',3,0,4,0,0,0,'Technical failure'
'Landing (descent or approach)',Private,No,'Plain, Valley',Asia,1,1,3,3,0,4,'Human factor'
'Takeoff (climb)','Survey / Patrol / Reconnaissance',No,'Airport (less than 10 km from airport)',Asia,4,4,0,0,1,5,'Technical failure'
'Landing (descent or approach)',Executive/Corporate/Business,Yes,'Airport (less than 10 km from airport)','North America',1,0,2,0,0,0,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','Central America',6,0,88,0,0,0,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','South America',5,0,60,0,0,0,'Human factor'
'Takeoff (climb)',Private,No,'Plain, Valley',Oceania,1,1,0,0,0,1,'Human factor'
'Landing (descent or approach)',Training,Yes,'Airport (less than 10 km from airport)','North America',9,5,0,0,0,5,Unknown
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,5,1,108,54,0,55,'Human factor'
'Takeoff (climb)',Government,No,City,'South America',3,3,4,4,6,13,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,6,2,110,66,0,68,'Human factor'
Flight,Test,No,'Plain, Valley','North America',3,3,0,0,0,3,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',No,'Lake, Sea, Ocean, River','North America',1,1,4,4,0,5,'Human factor'
Taxiing,Cargo,Yes,'Airport (less than 10 km from airport)',Europe,3,0,0,0,0,0,'Technical failure'
'Landing (descent or approach)',Training,Yes,'Airport (less than 10 km from airport)','North America',3,0,0,0,0,0,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Lake, Sea, Ocean, River','North America',1,1,5,4,0,5,'Technical failure'
'Landing (descent or approach)',Executive/Corporate/Business,No,'Airport (less than 10 km from airport)','North America',1,1,3,3,0,4,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Plain, Valley',Asia,2,0,15,1,0,1,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',No,Mountains,Asia,3,3,16,16,0,19,'Human factor'
Flight,'Scheduled Revenue Flight',Yes,Mountains,'South America',2,2,5,2,0,4,Unknown
'Takeoff (climb)',Private,Yes,'Airport (less than 10 km from airport)','North America',1,0,2,2,0,2,'Technical failure'
'Landing (descent or approach)',Ambulance,No,'Airport (less than 10 km from airport)','North America',1,1,3,3,0,4,'Human factor'
